model_name,accuracy,precision,recall,f1_score,f2_score,auc_roc,pr_auc,total_business_value,avg_value_per_customer
DummyClassifier (Stratified),0.6217175301632364,0.2891246684350133,0.2914438502673797,0.29027962716378164,0.29097704217832354,0.5162533260998735,0.2723402566824383,-102300,-72.60468417317246
Logistic Regression,0.7388218594748048,0.5051903114186851,0.7807486631016043,0.6134453781512605,0.703953712632594,0.8412333049161694,0.6306092256245852,61500,43.64797728885735
